pmtid	relativeDE	Gain	TimeOffset	DarkRate
44	0.291275	9.7657e+06	0.528981	58276.9
45	0.321685	1.073e+07	0.858142	47034.3
46	0.291197	1.03776e+07	1.14149	46269.3
47	0.278091	7.57851e+06	1.08189	55315.3
48	0.310616	9.21168e+06	0.980689	50712.2
49	0.3209	1.05463e+07	0.847156	43582.5
50	0.323411	8.85418e+06	0.880511	43384.4
51	0.295831	1.0992e+07	0.634818	51745.3
52	0.292546	9.32473e+06	0.72598	37290.4
53	0.2836	8.34096e+06	1.07967	50442.8
54	0.320822	8.38725e+06	1.31874	50770.2
55	0.274457	1.02554e+07	0.641017	52842.4
56	0.279035	1.16951e+07	1.49292	51042.3
57	0.301013	1.0341e+07	0.968602	52085.7
58	0.265038	9.0791e+06	1.5477	42060.8
59	0.26286	1.13247e+07	0.917315	48891.5
60	0.322126	9.17908e+06	1.03909	39380.8
61	0.32603	9.89989e+06	1.09969	50363.7
62	0.223026	9.26975e+06	1.00944	54444.1
63	0.28919	1.05434e+07	1.03912	45020.7
64	0.293205	9.64013e+06	0.600633	53507.8
65	0.228134	9.95987e+06	0.97955	47375.7
66	0.332433	9.83495e+06	0.753108	49407.8
67	0.32759	9.02116e+06	0.999563	49336
68	0.298656	1.01326e+07	1.06752	47968.3
69	0.299725	9.34606e+06	0.811625	56408.3
70	0.315976	1.02789e+07	0.776686	42988.2
71	0.289346	8.74775e+06	0.924108	43385.8
72	0.347942	8.82128e+06	1.0546	51456.5
73	0.295557	8.76167e+06	0.703603	49786.4
74	0.321225	1.19478e+07	0.696278	38208.1
75	0.295143	1.04457e+07	1.05451	59084
76	0.356816	1.07629e+07	1.1183	45972.1
77	0.295226	9.96463e+06	0.745674	41229.7
78	0.248925	1.14155e+07	0.75061	47316.7
79	0.358042	8.79414e+06	0.91167	50537
80	0.270734	1.12731e+07	0.642888	54079.9
81	0.337997	1.15495e+07	1.01149	42615.5
82	0.309288	9.79286e+06	1.18656	50378.7
83	0.273019	9.82554e+06	1.18613	48802.7
84	0.254515	9.99971e+06	1.14409	50820.2
85	0.302146	8.85703e+06	0.661639	50464
86	0.236331	9.2271e+06	1.28192	47464.7
87	0.268362	1.10311e+07	1.25094	52646.5
88	0.353988	1.04911e+07	1.05763	47749.4
89	0.303628	1.0586e+07	1.23569	41289.4
90	0.266423	1.07383e+07	0.894471	52666.2
91	0.295626	1.05261e+07	1.12974	47242.5
92	0.324488	8.81328e+06	1.19878	52067.9
93	0.335732	9.51179e+06	1.17918	54696.1
94	0.307379	9.76228e+06	1.03632	54220.6
95	0.258443	9.58481e+06	1.02277	48059
96	0.304403	9.21664e+06	0.848117	50868.5
97	0.300407	1.31972e+07	0.838399	43824.3
98	0.308909	1.00213e+07	1.33098	47353
99	0.309478	1.03158e+07	1.12386	55364.7
100	0.307086	1.14731e+07	0.848179	43565.7
101	0.287669	9.70624e+06	1.10086	45479.7
102	0.31584	1.05789e+07	1.30556	47060.1
103	0.315239	9.40598e+06	0.76471	52695.4
104	0.268953	1.19025e+07	1.26372	45292
105	0.326269	1.04701e+07	0.921125	55108.6
106	0.313555	1.01324e+07	1.2189	49840
107	0.282672	1.04527e+07	1.25223	44068.2
108	0.316178	1.02443e+07	0.52055	51564.1
109	0.375588	1.00475e+07	1.38997	48619.1
110	0.300959	8.99223e+06	1.27053	55200.3
111	0.295241	7.73545e+06	1.21216	45386.2
112	0.26145	9.89418e+06	0.88274	53071.5
113	0.289157	9.64414e+06	1.0738	44593.2
114	0.333982	1.10349e+07	0.618759	40420.7
115	0.30727	1.02831e+07	1.27897	52865.8
116	0.23989	1.00834e+07	1.68015	55639.6
117	0.303757	1.01815e+07	0.961959	53122.2
118	0.360713	9.24422e+06	1.06132	48190.4
119	0.292067	9.93621e+06	0.865335	39064.1
120	0.287146	9.49381e+06	0.923285	46906.5
121	0.342526	1.10911e+07	0.999151	48897.8
122	0.330252	1.00363e+07	1.10894	48127
123	0.341135	9.24767e+06	0.575482	54434.3
124	0.282993	8.19573e+06	1.22954	59834.1
125	0.312415	7.73006e+06	0.956012	47515.4
126	0.296707	1.14824e+07	0.92978	46271.1
127	0.228495	8.7292e+06	1.09712	53909.5
128	0.268982	8.5915e+06	1.04942	49002.7
129	0.264748	8.0761e+06	1.10501	52917
130	0.277883	9.03714e+06	1.06984	47064.4
131	0.270092	9.60885e+06	1.07582	54825.3
132	0.314782	1.21781e+07	1.08441	57947.9
133	0.276392	1.1286e+07	1.25165	49889.5
134	0.289581	9.7643e+06	1.11852	52576.8
135	0.285711	8.84567e+06	0.837642	34705.7
136	0.387475	1.02933e+07	0.926463	48743.7
137	0.272579	1.11856e+07	1.25259	55863.6
138	0.352791	8.61865e+06	0.963091	52641.1
139	0.292145	1.13539e+07	1.12229	48880.6
140	0.286345	8.98167e+06	0.698103	42292.9
141	0.29818	9.57541e+06	0.9409	56309.9
142	0.246698	9.67173e+06	1.18019	52609.5
143	0.290032	9.04283e+06	0.636295	48445.1
144	0.309629	1.0805e+07	0.85056	49696.4
145	0.265718	9.77386e+06	0.760441	47798
146	0.287218	1.16069e+07	0.800863	50375.5
147	0.291032	1.08666e+07	1.17368	49027.6
148	0.315949	9.49013e+06	1.19369	65959.7
149	0.28761	9.72489e+06	1.44279	52049.7
150	0.236727	1.1379e+07	1.02285	53376.9
151	0.307255	9.43204e+06	1.28447	57690.7
152	0.324376	1.01902e+07	0.981505	51421.1
153	0.26944	9.41697e+06	1.19108	49507.6
154	0.324847	9.32419e+06	0.641963	49287.6
155	0.318957	9.66823e+06	0.867403	39712
156	0.279191	9.93628e+06	0.918382	45267.1
157	0.284271	1.22355e+07	1.11709	50876.3
158	0.302866	9.80728e+06	0.731602	48819.6
159	0.297508	1.05306e+07	0.994407	46106.2
160	0.327528	1.10056e+07	1.01232	51054.5
161	0.264205	9.40279e+06	0.950624	54336.4
162	0.32437	9.12649e+06	1.18729	48796.6
163	0.277193	9.88181e+06	0.751581	51879.3
164	0.35759	7.78383e+06	1.34742	47560.2
165	0.303325	1.13591e+07	0.529453	50929.4
166	0.327168	9.89594e+06	1.29817	37373.8
167	0.310637	1.18993e+07	0.48807	52436.7
168	0.294376	1.22182e+07	0.919117	46520.3
169	0.303444	9.44389e+06	1.08653	42915.4
170	0.258211	9.18303e+06	0.820616	52821.4
171	0.264954	9.09464e+06	0.926868	45818.7
172	0.331986	9.05376e+06	1.15746	56930.9
173	0.338469	1.10638e+07	0.717361	54721.3
174	0.334391	1.18001e+07	0.874902	49818.1
175	0.283151	1.01714e+07	0.987811	44179.7
176	0.282477	9.47166e+06	0.701417	50306.5
177	0.265796	1.02743e+07	0.825467	45886.6
178	0.290472	8.0452e+06	0.564843	47769.4
179	0.302218	9.21533e+06	0.906358	47264.1
180	0.271242	1.09948e+07	1.17156	53694.8
181	0.248414	1.10055e+07	0.813486	49321.7
182	0.278395	9.19815e+06	1.04269	56314.4
183	0.279502	1.12197e+07	1.07614	46894.6
184	0.308828	9.95745e+06	0.976407	44824.7
185	0.338865	1.1636e+07	1.19363	41477
186	0.321358	8.85395e+06	1.13164	49282.6
187	0.290761	8.98702e+06	0.697065	48581.9
188	0.276736	1.05389e+07	1.07512	47980.5
189	0.280741	1.08021e+07	0.825993	49418.2
190	0.269924	1.05961e+07	0.917328	49890.8
191	0.339671	9.63887e+06	1.0998	47547.2
192	0.27733	9.52459e+06	1.2249	49745.5
193	0.349605	9.81135e+06	0.955993	49108
194	0.341552	1.05675e+07	0.743742	49911.7
195	0.313291	1.01621e+07	1.33599	47027.6
196	0.274795	1.05422e+07	0.924187	57542.3
197	0.311729	9.23894e+06	0.917601	56333.7
198	0.341165	1.15925e+07	0.862526	46579.8
199	0.289269	8.72005e+06	0.862279	41751.2
200	0.253471	1.09437e+07	1.09413	48406.3
201	0.270478	9.74139e+06	1.39861	46317.6
202	0.345053	9.6246e+06	0.915189	35625.2
203	0.270238	1.15716e+07	0.959642	48587.1
204	0.319301	1.22598e+07	0.901703	56958.9
205	0.287031	1.14255e+07	0.858176	50561.9
206	0.282568	1.18659e+07	0.872421	47480.3
207	0.300247	7.8009e+06	0.70732	56483.2
208	0.329553	9.69885e+06	0.455531	46456.3
209	0.277337	9.15457e+06	0.652941	44097.2
210	0.335838	1.09212e+07	0.761845	54271.1
211	0.315433	1.08579e+07	0.761786	38696.6
212	0.267503	9.7513e+06	0.835913	51974
213	0.304041	1.03413e+07	1.02511	44216.3
214	0.333286	9.71944e+06	1.00118	53288.6
215	0.300823	1.09772e+07	1.09145	48780.9
216	0.289719	1.14391e+07	0.787624	48458.7
217	0.336818	9.50494e+06	1.06574	54659.1
218	0.301202	9.73156e+06	0.756646	48645.9
219	0.314513	1.07342e+07	0.761944	52323.8
220	0.302778	9.50208e+06	0.918821	41231
221	0.274835	7.95733e+06	1.00406	52078.6
222	0.32145	1.07011e+07	1.03279	38652.3
223	0.33661	8.69083e+06	1.17582	53694.6
224	0.3013	9.59812e+06	1.17415	54500.3
225	0.321089	8.97425e+06	1.25101	54943.8
226	0.300096	1.0044e+07	1.07573	41901.3
227	0.278259	1.1269e+07	1.07819	50152.3
228	0.323297	1.01665e+07	0.955176	46698.9
229	0.303166	9.36346e+06	0.962656	53423.4
230	0.312304	9.26321e+06	0.747223	43187.3
231	0.260034	1.18555e+07	0.690576	45893.4
232	0.313652	8.91239e+06	0.755989	42606.7
233	0.317329	9.26039e+06	1.11358	46119.2
234	0.326629	1.14216e+07	0.937963	48849.1
235	0.347669	9.84126e+06	0.798367	46500.3
236	0.223403	9.98497e+06	0.822537	48393.4
237	0.290277	1.00879e+07	1.13411	56645
238	0.321731	1.00248e+07	1.35023	41009.8
239	0.304774	1.00783e+07	0.840415	52713.3
240	0.292368	9.49462e+06	0.731305	43757.8
241	0.317637	9.61767e+06	0.917727	50887.3
242	0.340727	9.55554e+06	1.11508	46697.3
243	0.350053	9.0166e+06	1.27119	59722.8
244	0.345366	1.1404e+07	1.00364	43144.2
245	0.350847	8.83463e+06	1.12617	51128
246	0.264955	1.02623e+07	0.629696	64328.8
247	0.303925	1.01857e+07	1.04188	44720.8
248	0.301878	9.04109e+06	0.977725	43089.4
249	0.320377	1.03416e+07	1.14312	44995.2
250	0.287907	9.05208e+06	1.07844	46008.6
251	0.296745	1.10474e+07	0.995848	52724.8
252	0.356179	9.71347e+06	0.998873	55531.5
253	0.301145	9.32421e+06	0.823215	56507.1
254	0.270364	9.91057e+06	0.909028	50457.3
255	0.234357	1.05095e+07	1.40811	48736.3
256	0.343474	1.02957e+07	1.04434	46553.4
257	0.296046	9.56038e+06	1.07421	46786.5
258	0.263863	1.10086e+07	1.06991	47147.2
259	0.297206	9.21612e+06	1.32926	44614.7
260	0.23871	9.23079e+06	1.36884	48634.8
261	0.276347	9.66476e+06	0.87812	51339.1
262	0.308594	8.58091e+06	0.763741	52623.4
263	0.274683	9.55673e+06	0.742082	40480
264	0.299752	1.15582e+07	1.1328	50921.5
265	0.238296	9.34882e+06	1.10681	42766.1
266	0.295496	9.37478e+06	1.14858	55587.1
267	0.355801	1.08309e+07	0.615191	42753.6
268	0.322905	1.08201e+07	0.703818	59025.8
269	0.348107	9.4108e+06	1.22318	54166.6
270	0.289602	1.03387e+07	1.18534	46275.8
271	0.296107	9.14925e+06	1.17965	55842.5
272	0.332847	9.18687e+06	1.08026	45905.3
273	0.277374	9.20212e+06	1.40446	46360.4
274	0.248588	1.08213e+07	1.04038	50002
275	0.329657	1.09226e+07	0.917918	59794.1
276	0.288221	1.04906e+07	1.064	41958.6
277	0.325729	8.49458e+06	0.773686	47696.3
278	0.260358	9.91697e+06	0.649075	50327.6
279	0.292669	8.85181e+06	1.16351	49919.4
280	0.290725	1.08804e+07	0.87248	49219.4
281	0.302417	9.9289e+06	1.04239	50616
282	0.279248	1.0224e+07	1.28978	41982.2
283	0.340247	1.06046e+07	0.922609	50848.3
284	0.334774	8.58665e+06	0.658527	52413.9
285	0.265856	1.1019e+07	0.902261	53143.2
286	0.298657	1.13924e+07	0.814028	60364.5
287	0.28093	8.79915e+06	1.21372	49873.3
288	0.303223	1.01889e+07	1.07299	49623
289	0.328817	9.42952e+06	0.93291	45285.3
290	0.330604	1.18693e+07	1.16197	38526.3
291	0.300336	9.79714e+06	0.891535	50512.6
292	0.257728	1.0063e+07	1.04056	52795.1
293	0.330049	8.23377e+06	0.588265	48824.6
294	0.303404	9.48479e+06	0.761857	45267.6
295	0.323412	9.03598e+06	0.805069	50114
296	0.312131	7.65782e+06	0.650656	58659.6
297	0.32067	9.91688e+06	1.30197	49433.1
298	0.254898	1.06302e+07	1.21868	45577.8
299	0.333624	1.13064e+07	0.982082	58897.8
300	0.314346	8.43512e+06	0.795319	42745.7
301	0.322753	9.8372e+06	1.07306	47728.2
302	0.291854	1.15295e+07	1.06959	59518.5
303	0.306266	1.01937e+07	1.19458	51912
304	0.281706	9.3832e+06	0.850046	42242.1
305	0.334683	9.38918e+06	0.880664	51365.3
306	0.314922	1.0824e+07	1.20641	44114.8
307	0.324926	1.07944e+07	1.08362	58641
308	0.295882	8.13933e+06	0.998387	52581
309	0.265507	1.07015e+07	0.869823	50123.7
310	0.293018	8.83535e+06	0.722608	59358.6
311	0.267754	9.24684e+06	1.01417	60270.7
312	0.333821	1.03252e+07	0.621949	48366
313	0.283936	1.00545e+07	1.03996	49453.9
314	0.27735	7.50759e+06	0.97017	48208.2
315	0.288332	1.01776e+07	0.663903	50931.2
316	0.311023	9.51339e+06	1.38479	52455.7
317	0.271909	1.08904e+07	0.973919	54459.9
318	0.317963	1.07112e+07	0.814166	44106.8
319	0.299618	1.03728e+07	0.590384	64664.3
320	0.333289	1.11264e+07	0.829973	42318.3
321	0.238162	8.23464e+06	0.63847	54802.6
322	0.339622	1.08126e+07	1.32914	50004.5
323	0.265669	1.00966e+07	0.859184	58292.9
324	0.330374	1.03474e+07	0.846054	54481.3
325	0.355871	1.05334e+07	1.36538	55850.2
326	0.329205	7.7504e+06	1.54413	46492.6
327	0.291355	9.19767e+06	0.893652	46225
328	0.256962	1.06537e+07	1.26111	50373.9
329	0.269808	1.10415e+07	0.728822	52078.6
330	0.327166	1.26508e+07	0.79159	40354.8
331	0.356375	8.9693e+06	1.5566	53606.9
332	0.313948	1.23933e+07	1.3233	49125
333	0.245392	8.56348e+06	1.27876	49230.6
334	0.311885	1.01265e+07	1.01978	57466.1
335	0.337143	8.93946e+06	0.800355	49578.9
336	0.319517	1.0434e+07	0.959081	47133.9
337	0.339916	9.49195e+06	1.21749	49923.5
338	0.328025	9.66382e+06	1.05163	55060.6
339	0.27003	8.68067e+06	1.0961	42478.6
340	0.367552	1.02276e+07	0.910838	48140.5
341	0.30137	1.04532e+07	0.923726	52790.1
342	0.349364	9.64721e+06	0.796311	50422
343	0.269904	1.01999e+07	1.19018	53668.5
344	0.288915	1.1084e+07	0.97225	49006.2
345	0.30635	8.76772e+06	1.30331	54202.7
346	0.271825	1.03786e+07	0.989317	46659.4
347	0.259734	1.0498e+07	0.918996	49542.4
348	0.271256	8.95004e+06	1.00758	52631
349	0.290869	1.23548e+07	1.00417	47935.7
350	0.308305	8.73209e+06	1.0288	43246.3
351	0.290903	7.94332e+06	1.38041	49093.9
352	0.310023	1.26081e+07	0.879529	46421.5
353	0.250992	1.16327e+07	0.83281	59851.4
354	0.33176	1.09724e+07	1.25513	56228.1
355	0.290301	8.07368e+06	1.06841	56897.6
356	0.290946	9.21213e+06	1.03528	52713.7
357	0.335461	1.02999e+07	1.15596	52636.5
358	0.285536	1.03227e+07	1.04625	55169.8
359	0.288941	9.27918e+06	1.01492	55167.6
360	0.300888	1.07286e+07	0.954031	49066.2
361	0.30575	1.10243e+07	0.745669	54257.3
362	0.276887	1.0078e+07	1.24885	55495.6
363	0.315001	1.00817e+07	1.0083	52593.6
364	0.315337	1.05053e+07	0.759541	53535.7
365	0.292746	8.87629e+06	1.21779	55272.9
366	0.300961	1.0631e+07	0.912939	55461.9
367	0.28816	9.4448e+06	1.00952	45320.8
368	0.315782	1.22693e+07	0.944336	47591.4
369	0.280416	1.17125e+07	1.12276	46267.3
370	0.290832	8.62143e+06	0.982218	47200.8
371	0.326022	1.09087e+07	0.79245	56344.2
372	0.306197	9.32028e+06	1.10222	50484.4
373	0.305197	1.02965e+07	0.598809	59859.8
374	0.271648	1.00628e+07	0.964603	55886.2
375	0.231083	1.02411e+07	1.03069	57986.9
376	0.31208	1.10275e+07	0.830879	58413.8
377	0.300695	1.06053e+07	0.720915	46178.2
378	0.311051	8.48994e+06	0.842711	45911.6
379	0.312522	9.12855e+06	0.985451	59951.6
380	0.33904	1.12453e+07	1.1646	46226.9
381	0.294846	9.77862e+06	1.0295	44291.2
382	0.276175	9.86045e+06	1.2422	53429
383	0.276706	1.00245e+07	0.742636	47877.2
384	0.339982	9.65692e+06	1.09364	56870
385	0.288088	1.03355e+07	0.968099	49243
386	0.288846	1.19893e+07	1.38805	52185.3
387	0.272898	1.07024e+07	0.974115	44858.1
388	0.322433	9.21282e+06	0.511652	47137.7
389	0.310302	9.81413e+06	0.871363	49588.2
390	0.279555	8.47405e+06	1.2132	38129.1
391	0.272051	1.0476e+07	0.81556	48404.3
392	0.296926	1.03409e+07	1.01045	51691.1
393	0.277253	1.06835e+07	1.01129	50807.5
394	0.254796	1.06077e+07	0.866142	41626.3
395	0.270279	1.04602e+07	0.419651	48760
396	0.329568	9.18111e+06	1.13573	42449.3
397	0.358735	1.04215e+07	1.13198	49590.4
398	0.28363	8.6633e+06	1.01939	49853.8
399	0.269606	1.03967e+07	1.43292	51571.7
400	0.277466	1.04967e+07	0.991211	47999.7
401	0.318876	1.28489e+07	1.42993	49619.4
402	0.306608	1.05144e+07	0.836853	47978.5
403	0.289123	1.12679e+07	0.95304	50176.1
404	0.309352	9.3574e+06	0.870799	43474.4
405	0.273001	1.10975e+07	0.910807	39044.9
406	0.267519	1.08579e+07	1.07434	39177.4
407	0.32894	8.29207e+06	0.79098	48122.1
408	0.306552	1.15295e+07	1.09563	52031.6
409	0.315015	1.12125e+07	1.39132	54750.6
410	0.332884	1.06653e+07	0.519136	53330.2
411	0.323217	1.05923e+07	1.11512	49509.1
412	0.241501	1.00366e+07	0.972205	54753.4
413	0.359705	9.75905e+06	1.02688	51898.4
414	0.305798	1.16341e+07	1.10479	48154.4
415	0.259766	1.04645e+07	1.0729	42578.4
416	0.297239	9.10273e+06	1.40472	46540.8
417	0.383035	9.82561e+06	1.05375	52057.3
418	0.274023	8.857e+06	0.816645	55375.2
419	0.301269	1.02867e+07	0.862481	42231.2
420	0.27526	1.18507e+07	0.760368	49266.5
421	0.294677	8.88366e+06	1.03877	48431.9
422	0.291807	9.91124e+06	0.899582	50440.9
423	0.278439	1.18307e+07	1.1516	43803.1
424	0.302249	8.87638e+06	1.14246	46311.9
425	0.262943	8.74803e+06	1.10085	48976.6
426	0.290481	1.08824e+07	0.696524	52443.2
427	0.360872	1.02032e+07	1.33028	56024.8
428	0.304338	8.82614e+06	0.818788	35979.6
429	0.325943	9.78031e+06	0.98642	56194.6
430	0.337451	9.68767e+06	0.85977	46642.4
431	0.301027	9.21717e+06	0.758644	50517.9
432	0.315725	1.07638e+07	0.934142	45721.8
433	0.316314	9.37994e+06	0.911279	43971.6
434	0.319906	8.6987e+06	0.918349	46006.6
435	0.333798	1.02732e+07	0.979369	46987.5
436	0.276161	1.10075e+07	0.88774	51393.7
437	0.314561	1.24227e+07	1.08998	47348.2
438	0.316206	1.0119e+07	0.851665	51712.4
439	0.370498	1.15238e+07	0.797783	48799.5
440	0.29039	1.18457e+07	0.814236	47114.4
441	0.31834	9.59831e+06	0.999876	56439.3
442	0.327405	1.06455e+07	1.06966	39238.9
443	0.299889	1.0247e+07	1.18279	44330.9
444	0.296792	9.53908e+06	1.57042	51622.7
445	0.337801	1.01499e+07	0.966651	58216
446	0.277145	9.49005e+06	0.986321	49731.6
447	0.332697	9.94886e+06	1.07796	52599
448	0.28956	9.59073e+06	0.952225	46120.6
449	0.309182	9.5817e+06	1.28727	52241.4
450	0.339571	1.06877e+07	1.15343	51860.8
451	0.289129	9.95756e+06	1.0712	47368
452	0.287069	1.02009e+07	0.920224	40939.3
453	0.290029	1.03825e+07	0.785857	50786.3
454	0.33873	9.57814e+06	1.44785	47636.6
455	0.259386	8.95404e+06	0.968521	46594.6
456	0.28946	9.23608e+06	0.919131	45986.9
457	0.308756	9.58629e+06	1.14798	47473.6
458	0.300151	1.09403e+07	0.686987	50455.2
459	0.301229	9.96138e+06	1.44499	35430.7
460	0.286092	1.01315e+07	0.741683	44727.7
461	0.293996	9.02763e+06	0.785141	51182.4
462	0.269904	9.37075e+06	0.97916	57195.4
463	0.318837	9.91544e+06	1.2108	52691.7
464	0.326397	1.0718e+07	1.36683	52792.6
465	0.282825	1.0423e+07	1.08177	51766.3
466	0.285694	9.197e+06	0.693372	54151.2
467	0.315738	9.60949e+06	0.844199	54898.8
468	0.282971	9.57453e+06	1.35191	50075.6
469	0.241124	8.32893e+06	1.19969	51392.6
470	0.28181	8.54247e+06	1.28845	51393
471	0.283031	9.09904e+06	1.14352	41269.1
472	0.250092	1.12822e+07	0.949708	43528.6
473	0.29984	9.71417e+06	0.70125	50509.8
474	0.260435	1.1048e+07	1.26905	54009
475	0.318182	8.88657e+06	0.808579	44754.7
476	0.313632	8.55912e+06	1.05475	44285.1
477	0.336072	9.30555e+06	0.862154	51596.4
478	0.28824	1.0853e+07	1.37055	40365.3
479	0.278695	1.09556e+07	0.910394	48777.7
480	0.30745	9.58227e+06	0.873571	54027.5
481	0.25731	1.06395e+07	0.865758	51311
482	0.264614	8.55614e+06	0.775441	50752.9
483	0.325262	1.1539e+07	0.940968	49450.8
484	0.269087	1.02723e+07	1.15484	47440.5
485	0.321686	9.26524e+06	0.92401	54166.2
486	0.277194	9.30975e+06	1.20771	49395
487	0.244433	1.15981e+07	0.90786	51056.7
488	0.287718	1.08209e+07	0.843812	54537.9
489	0.300997	1.00003e+07	1.39105	55926.7
490	0.324145	8.69398e+06	0.412013	50449.6
491	0.297152	8.96692e+06	1.06427	39878.2
492	0.269597	1.03079e+07	1.04871	55769.8
493	0.361265	9.03886e+06	0.271257	58064
494	0.242176	8.76476e+06	0.931935	51310.9
495	0.268446	9.64602e+06	0.856764	41849.4
496	0.284748	8.98783e+06	1.09972	50559.7
497	0.304983	9.37145e+06	1.12069	47793.4
498	0.280056	9.95871e+06	1.10241	59270.3
499	0.30544	1.16222e+07	1.20233	46885.2
500	0.275768	9.58768e+06	1.03092	56027.3
501	0.306778	9.88753e+06	0.850794	53038.2
502	0.263393	8.48251e+06	0.769816	58348.2
503	0.258676	8.33356e+06	0.787581	51207.3
504	0.274861	1.27116e+07	1.55238	54005.8
505	0.281863	1.02885e+07	1.0038	55733.4
506	0.319145	8.7226e+06	0.810901	50227.5
507	0.251222	1.0345e+07	1.03901	47038.5
508	0.324842	1.1538e+07	1.22392	51643
509	0.348173	8.44939e+06	0.884679	56921.7
510	0.262957	8.45472e+06	0.602004	55991.4
511	0.334969	1.13214e+07	1.13767	46103.8
512	0.302098	1.03967e+07	0.947992	53935.8
513	0.332163	1.08828e+07	1.32405	47074.9
514	0.291766	1.0349e+07	1.07527	47831
515	0.362296	1.08641e+07	1.16765	53828.6
516	0.281051	9.76683e+06	1.10341	40821.2
517	0.28402	9.99595e+06	1.09386	43419
518	0.270856	9.4554e+06	0.942172	47007.2
519	0.35021	1.00714e+07	0.733976	50265.3
520	0.331101	9.35316e+06	0.805889	51615.7
521	0.280157	8.10497e+06	1.14283	54683.6
522	0.252836	9.3103e+06	1.05216	56314.6
523	0.285456	1.07619e+07	0.910132	59901.4
524	0.281058	1.08588e+07	1.21592	38520.5
525	0.334056	9.38674e+06	1.06604	54015.4
526	0.27649	1.09527e+07	1.13422	45997.6
527	0.273388	8.95521e+06	0.93321	54739.6
528	0.295146	1.08754e+07	1.03518	47095.8
529	0.284869	9.17486e+06	1.01865	51324.3
530	0.305979	8.45286e+06	0.758716	51183.9
531	0.267285	1.05648e+07	0.931718	55362.2
532	0.299044	1.02824e+07	0.41226	40894.3
533	0.258993	9.10275e+06	0.985332	65056
534	0.307076	8.88128e+06	1.04174	51321.5
535	0.301801	1.21904e+07	0.974628	34880.8
536	0.306203	1.02889e+07	1.05722	44600.2
537	0.292908	9.24532e+06	0.900264	45458
538	0.285969	8.86018e+06	1.04793	41836.5
539	0.303162	9.63269e+06	0.678205	54906.4
540	0.243032	1.01166e+07	1.13035	52277.7
541	0.356612	9.471e+06	1.10141	45060
542	0.301048	1.03051e+07	1.28392	47709.6
543	0.311591	9.57643e+06	1.12905	49110.6
544	0.272916	1.12076e+07	1.25492	46618.9
545	0.278839	1.03274e+07	0.680449	49205.9
546	0.300823	9.51387e+06	1.05643	46821.4
547	0.291213	1.06812e+07	1.24471	58003.4
548	0.349589	1.039e+07	0.810208	38266.3
549	0.295578	9.80633e+06	0.728191	41593.8
550	0.295868	8.72865e+06	1.11682	44326.1
551	0.296528	9.78484e+06	1.18038	50982
552	0.26365	1.11314e+07	0.882638	55142.4
553	0.310197	1.12366e+07	1.10583	55901.4
554	0.33396	9.33636e+06	1.11673	48547.6
555	0.30824	9.81757e+06	1.15676	59810
556	0.314792	9.91157e+06	0.898056	41496.6
557	0.307681	1.11231e+07	1.09745	51516.9
558	0.353911	1.07908e+07	1.15937	51988.3
559	0.277364	9.8711e+06	1.05089	49975.8
560	0.318025	1.08826e+07	1.20042	48254.5
561	0.254418	8.87759e+06	0.74321	55274.9
